clbS-like_4ce09a.fna	"majority variant conserved in pks- clones and sometimes as extra copy in pks+"
clbS-like_56e764.fna	"minority variant from trunctated pks operon in ST141 and ST2015"
clbS-like_cb4bca.fna	"minority variant carried by 4 ST59, 1 ST10, and 1 ST58"
clbS-like_cd711d.fna	"extra copy of clbS variant found in a single ST95, ST73, and ST141"
